3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?,
Often (5-6 times a week),7-8 hours,Every night,Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Every night,More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Average,
Every night,More than 8 hours,Every night,Poor,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Average,
Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very poor,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Sometimes (3-4 times a week),Less than 4 hours,Every night,Very good,Often (5-6 times a week),Every day,Extremely high stress,Poor,
Every night,More than 8 hours,Often (5-6 times a week),Average,Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Poor,
Every night,More than 8 hours,Every night,Average,Every night,Sometimes (3-4 times a week),Low stress,Poor,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Good,Every night,Every day,High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Rarely (1-2 times a week),Poor,Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Poor,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,More than 8 hours,Every night,Very good,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Average,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,7-8 hours,Every night,Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Never,4-5 hours,Sometimes (3-4 times a week),Good,Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Poor,
Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Every night,7-8 hours,Rarely (1-2 times a week),Very good,Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Average,Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,
Every night,7-8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Every night,7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Often (5-6 times a week),7-8 hours,Every night,Good,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Below Average,
Every night,6-7 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Often (5-6 times a week),No stress,Poor,
Every night,6-7 hours,Often (5-6 times a week),Very good,Every night,Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Rarely (1-2 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Poor,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,
Every night,More than 8 hours,Every night,Poor,Rarely (1-2 times a week),Rarely (1-2 times a week),No stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Average,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Every night,7-8 hours,Often (5-6 times a week),Average,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Often (5-6 times a week),6-7 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Average,
Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely (1-2 times a week),Rarely (1-2 times a week),No stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Every night,Average,Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average,
Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Below Average,
Rarely (1-2 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Every day,High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Poor,
Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Every night,Rarely (1-2 times a week),Extremely high stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),No stress,Below Average,
Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Good,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes (3-4 times a week),Every day,High stress,Poor,
Every night,More than 8 hours,Every night,Very good,Every night,Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Every night,7-8 hours,Every night,Very good,Every night,Every day,Extremely high stress,Poor,
Every night,7-8 hours,Every night,Average,Often (5-6 times a week),Every day,Low stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Average,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Every night,More than 8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Every day,Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Good,Every night,Often (5-6 times a week),High stress,Below Average,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Every day,High stress,Below Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),No stress,Poor,
Every night,7-8 hours,Every night,Very good,Sometimes (3-4 times a week),Every day,High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Every day,High stress,Poor,
Never,7-8 hours,Often (5-6 times a week),Good,Every night,Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Good,Often (5-6 times a week),Every day,Extremely high stress,Poor,
Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Good,Sometimes (3-4 times a week),Every day,Extremely high stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Good,Every night,Often (5-6 times a week),Low stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Every day,Extremely high stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average,
Every night,7-8 hours,Often (5-6 times a week),Good,Every night,Every day,Low stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Very good,Sometimes (3-4 times a week),Rarely (1-2 times a week),Low stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Every day,High stress,Below Average,
Every night,7-8 hours,Every night,Good,Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Poor,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Below Average,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes (3-4 times a week),Every day,High stress,Below Average,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average,
Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Every night,More than 8 hours,Every night,Very good,Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often (5-6 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,
Every night,7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Every night,7-8 hours,Often (5-6 times a week),Good,Every night,Often (5-6 times a week),High stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes (3-4 times a week),Rarely (1-2 times a week),Low stress,Average,
Every night,7-8 hours,Often (5-6 times a week),Good,Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often (5-6 times a week),Every day,Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Very good,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Often (5-6 times a week),More than 8 hours,Every night,Good,Often (5-6 times a week),Every day,High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,
Every night,7-8 hours,Every night,Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Every night,Often (5-6 times a week),High stress,Below Average,
Every night,More than 8 hours,Often (5-6 times a week),Good,Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average,
Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Every night,Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Every night,7-8 hours,Every night,Good,Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Poor,
Every night,More than 8 hours,Every night,Very good,Every night,Every day,High stress,Poor,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Every night,Often (5-6 times a week),High stress,Poor,
Every night,7-8 hours,Often (5-6 times a week),Good,Every night,Often (5-6 times a week),High stress,Poor,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Every night,Every day,High stress,Poor,
Every night,More than 8 hours,Often (5-6 times a week),Good,Often (5-6 times a week),Every day,Extremely high stress,Below Average,
Every night,More than 8 hours,Every night,Good,Every night,Every day,Extremely high stress,Poor,
Every night,More than 8 hours,Often (5-6 times a week),Very good,Every night,Often (5-6 times a week),Extremely high stress,Poor,
Every night,More than 8 hours,Often (5-6 times a week),Good,Every night,Every day,High stress,Poor,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,More than 8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Good,Every night,Often (5-6 times a week),Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Very good,Every night,Sometimes (3-4 times a week),Extremely high stress,Poor,
Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Every night,Often (5-6 times a week),Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Very good,Every night,Every day,Extremely high stress,Poor,
Every night,7-8 hours,Every night,Very good,Every night,Often (5-6 times a week),Extremely high stress,Poor,
Every night,More than 8 hours,Every night,Good,Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,
Often (5-6 times a week),More than 8 hours,Every night,Very good,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,
Every night,More than 8 hours,Every night,Good,Every night,Every day,High stress,Poor,
Never,More than 8 hours,Often (5-6 times a week),Very good,Every night,Often (5-6 times a week),Extremely high stress,Below Average,
